Investment,UK  P  308  Leads ,UK  D  DS4  Orders ,DE  D  DS4  Orders  ,IT  D  DS3 Orders (Private) ,IT  D  DS4 Orders (Private) ,DE  P  3008  Orders  ,IT  D  DS3 Orders ,DE  P  3008  Orders  ,IT  D  DS5 Leads ,UK  P  108  Leads ,IT  D  DS3 Orders ,UK  C  C4P+GC4P  Leads ,IT  D  DS4 Orders ,IT  D  DS4 Orders ,DE  D  DS5  Orders  ,DE  P  207208  Leads  ,UK  P  2008  Leads ,DE  D  DS3  Orders  ,DE  P  3008  Orders  ,DE  D  DS4  Leads  ,DE  D  DS5  Orders  ,UK  D  DS4  Orders ,DE  D  DS4  Orders  ,DE  D  Orders  ,UK  C  BRAND  Orders  ,UK  C  C1  Orders ,UK  P  2008  Orders ,DE  P  207208  Orders  ,DE  D  DS3  Orders  ,UK  P  2008  Leads ,DE  P  2008  Orders  ,DE  P  2008  Orders  ,DE  C  C1  Orders  ,IT  D  DS3 Orders ,DE  C  C4P GC4P  Orders  ,UK  D  DS5  Leads ,DE  P  2008  Orders  ,DE  D  DS4  Leads  ,UK  P  308  Leads ,DE  C  C1  Orders  ,DE  P  207208  Orders  ,UK  P  308  Orders ,UK  C  C4P+GC4P  Orders ,UK  P  208  Orders ,IT  D  DS4 Leads ,DE  P  308  Orders  ,DE  C  C1  Orders  ,UK  P  3008  Orders ,DE  P  308  Orders  ,DE  C  C1  Leads  ,DE  C  C4P GC4P  Orders  ,UK  P  108  Leads ,UK  P  2008  Leads ,UK  P  108  Orders ,IT  D  DS5 Leads ,UK  P  308  Leads ,UK  P  Brand  ,DE  D  DS3  Leads  ,DE  C  C4P GC4P  Orders  ,UK  P  2008  Orders ,UK  P  2008  Leads ,DE  P  Brand  ,DE  D  Orders  ,DE  C  C4P GC4P  Orders  ,DE  C  Orders  ,UK  P  208  Orders ,DE  D  DS4  Leads  ,UK  C  C4P+GC4P  Orders ,DE  P  308  Orders  ,UK  C  C1  Leads ,DE  P  308  Orders  ,UK  P  108  Leads ,UK  C  C1  Leads ,UK  C  C4P+GC4P  Leads ,UK  P  2008  Orders ,DE  D  Orders  ,UK  C  C4P+GC4P  Leads ,DE  P  2008  Orders  ,UK  P  208  Leads ,DE  C  C1  Leads  ,DE  P  207208  Orders  ,UK  P  3008  Orders ,DE  P  207208  Orders  ,DE  C  C4P GC4P  Leads  ,DE  C  Orders  ,UK  P  108  Orders ,UK  P  308  Orders ,DE  C  C1  Orders  ,DE  P  Brand  ,UK  C  C1  Orders ,UK  C  BRAND  Orders  ,UK  C  BRAND  Orders  ,UK  C  C4P+GC4P  Leads ,UK  C  BRAND  Orders  ,UK  P  3008  Orders ,DE  P  Brand  ,UK  P  Brand  ,DE  C  Orders  ,UK  C  C4P+GC4P  Orders ,DE  P  Brand  ,UK  C  BRAND  Orders  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,1.038970599,1.031810942,1.581236933,1.757477965,1.757477965,1.826978366,1.837819162,1.884559108,1.933332649,1.942229015,1.937414781,2.063567611,2.088177647,2.211183047,2.385628307,2.329146115,2.352393783,2.390670852,2.444998427,2.495908648,2.665282651,2.987468739,3.43159385,3.653251584,4.512301221,4.512302179,4.434411399,4.811152515,4.926753976,5.0752383,5.252769305,5.392344841,5.476370149,5.506845124,6.038909216,6.788528648,6.574916163,6.742648221,7.748957377,7.362221289,7.309745164,7.999823375,8.170264872,8.033752693,11.15524241,8.740133125,9.260127695,9.607941198,9.98167173,11.70225215,11.28674994,11.05193622,12.58861485,11.44058617,12.4014035,17.50688083,13.89263382,19.90558481,15.00127278,14.83747124,16.04713993,15.52784816,15.61711765,16.28662156,15.89792049,15.98826087,16.68679596,17.44920627,17.2693413,17.00117577,17.43607099,19.46615688,23.73704301,20.79912181,18.35514207,18.70224043,20.8872054,20.4114809,23.87035745,30.63657818,23.25663578,25.52077159,23.77793489,32.92278269,25.01703412,29.93094632,32.6878863,37.56288266,39.13001185,46.67125198,44.19960696,45.35188933,114.8614396,53.65116612,97.23575116,81.34675381,79.68305134,125.6810659,164.067361,139.4783808,267.4221113
50000,2.045975434,2.055059188,3.123432987,3.497468731,3.497468731,3.608848476,3.637746502,3.722588286,3.818931144,3.844413505,3.855551963,4.112447971,4.163344884,4.367771791,4.654908149,4.600785408,4.646706757,4.722315829,4.829629628,4.930193092,5.26475924,5.937826546,6.778461346,7.216304064,8.913193329,8.91319522,8.841194155,9.503517252,9.731865963,10.04998015,10.37584727,10.65155221,10.81752824,10.87772576,11.78329735,13.24597685,13.06815741,13.31881986,15.02842916,14.54266869,14.52868722,15.92004718,16.1569361,16.01745101,19.84295393,17.2644716,18.06863363,18.97866148,19.71689511,22.02945343,22.0230386,21.74154687,23.97926461,22.69207609,24.6487543,31.14125333,27.66997673,35.40806985,29.63216282,29.47029098,31.12203279,30.67231239,30.84864728,31.77893521,31.40331992,31.81743589,32.96159345,34.04740471,34.11230104,33.79115953,34.44164386,37.07986401,42.2234707,39.15428239,36.20743542,36.9427209,40.50891899,40.31900054,46.29448306,54.49636926,45.93906318,49.00101495,46.96879048,58.56307163,49.41639546,58.64039447,62.76219352,73.29380191,77.29390027,87.85848729,86.24357365,89.58403652,164.7800154,105.9776802,172.9630303,160.6850491,158.7989659,248.2590551,297.2796146,275.5130281,475.690661
75000,3.021997987,3.069815795,4.627552085,5.2201463,5.2201463,5.346724056,5.400563267,5.515236362,5.657974047,5.7073791,5.754603361,6.146745614,6.225582772,6.471114168,6.813513907,6.816337726,6.884372941,6.996392288,7.155384075,7.304374839,7.800054523,8.85153442,10.04269439,10.69138447,13.20542702,13.20542983,13.22052041,14.08002709,14.41833931,14.92621551,15.372436,15.78090929,16.02681266,16.11599888,17.24752838,19.38849158,19.48073831,19.73262525,21.86686004,21.54583021,21.65795413,23.76146344,23.96413921,23.95140683,26.60895047,25.5783434,26.44754367,28.11801786,29.21175496,31.14317656,32.23571227,32.0807104,34.28595072,33.75759523,36.74396605,41.75971331,41.33298551,47.48141734,43.90181489,43.90128194,45.28358407,45.44285846,45.70410912,46.5156798,46.52588967,47.48910799,48.83456476,49.83609946,50.53940663,50.37257477,51.02734764,53.01740529,56.62071506,55.35265474,53.57065586,54.7328423,58.94181306,59.73500178,67.35999958,73.07839324,68.06145945,70.60388171,69.5870618,78.53174873,73.21333443,86.17819445,90.4318919,107.2821037,114.5155189,124.2060949,126.2370319,132.7240881,186.4745391,157.0122481,231.9394946,238.0644749,237.3517803,367.8105831,405.439485,408.1889681,637.8903706
100000,3.967991482,4.076151235,6.09453435,6.925682941,6.925682941,7.041691335,7.127034595,7.263623799,7.451610818,7.531934408,7.634758882,8.166564332,8.274971868,8.522524837,8.866843219,8.977187863,9.066790951,9.214321598,9.42371544,9.619937829,10.27275314,11.72904763,13.22633323,14.08066483,17.39168509,17.39168878,17.57256123,18.5435425,18.98910322,19.70589494,20.2456585,20.7836221,21.10747939,21.22493857,22.44526571,25.23143234,25.81366086,25.98807322,28.29097134,28.37608305,28.69865987,31.5248563,31.59590702,31.83593006,31.87831387,33.68694497,34.41780944,37.03172272,38.47218589,39.186009,41.95030798,42.08091583,43.61182598,44.64021743,48.68892868,50.02937826,54.88260897,56.88414982,57.819148,58.13322792,58.58713033,59.84871846,60.19278829,60.53370489,61.27508185,63.00484434,64.31563102,64.85477048,66.56092553,66.74801236,67.20354893,67.438289,67.83330024,69.64766817,70.4582018,72.08372404,76.25791453,78.67162023,87.14922097,87.55008806,89.63765181,90.4794786,91.64688602,94.0833701,96.42272487,112.5921619,115.8892434,139.6127764,150.8181325,156.282746,164.2799862,174.799008,195.9029402,206.786768,277.8704112,313.5333959,315.3455023,484.4103733,493.2584151,537.5891273,764.2116314
125000,4.884879818,5.074135391,7.525296694,8.614249209,8.614249209,8.694809723,8.81790985,8.968843396,9.20096254,9.318871366,9.496206543,10.17200718,10.31159223,10.523286,10.82003048,11.08468642,11.19532487,11.37749004,11.6360415,11.87832937,12.68440061,14.5708158,16.33136775,17.38626356,21.47458408,21.47458863,21.89748662,22.89685332,23.44701457,24.39093037,24.99856072,25.66281748,26.06270402,26.20773809,27.3895064,30.78940951,32.06791457,32.08907363,34.32586542,35.03769635,35.65190455,39.21100211,39.05618172,39.67132869,,41.59534447,41.99936076,45.72534743,47.50397597,46.28378372,51.19111726,51.75327553,52.05022686,55.34296571,60.48550859,,68.31978808,,71.39286094,72.16887434,71.08465547,73.8988965,74.3237407,73.86806282,75.66011517,78.36619654,79.41446839,79.14097227,82.18687172,82.920031,82.98035839,80.48684417,,82.26297325,86.88310459,89.00621098,92.52488645,97.14069191,105.739474,,110.6811261,108.7659105,113.1620512,,119.0590734,137.9281609,139.3111374,170.3666636,186.2244314,184.5902913,200.4675636,215.8350945,,255.3323506,,387.1389826,392.7841112,598.1313044,564.5617962,663.7943853,
150000,5.773558465,6.063837569,8.92073339,10.28601396,10.28601396,10.30711247,10.47392295,10.63196097,10.90712261,11.06896558,11.33913249,12.16317647,12.3355234,12.47464819,12.67795967,13.14015065,13.2713051,13.48724966,13.79374504,14.08096102,15.0365043,17.37728296,19.35973869,20.61024676,25.45667593,25.45668133,26.19546553,27.14268051,27.79485969,28.98319589,29.63411336,30.4215451,30.89558371,31.06751186,32.09261362,36.07632093,38.24447671,38.0394398,39.99512374,41.53483384,42.51877464,46.8206695,46.34881694,47.4579088,,49.30848488,49.21115546,54.20432578,56.31277035,52.54754792,59.98124695,61.10853756,59.68560773,65.86881312,72.13554904,,81.64545597,,84.6314377,86.01092873,82.82499384,87.6021744,88.10579865,86.55209644,89.68998076,93.57470073,94.14051413,92.73042778,97.42701192,98.8911576,98.36763703,92.29366515,,93.3959409,102.8580386,105.5108802,107.8062924,115.1537606,123.2034006,,131.2050351,125.5902401,134.1460051,,141.1365286,162.2301841,160.8603201,199.620666,220.7565457,209.5716123,234.8902522,255.8579963,,302.6793386,,458.9272409,469.6715579,709.0444557,622.455603,786.8836244,
175000,6.634895345,7.045326498,10.28171663,11.94114438,11.94114438,11.87960732,12.09579266,12.25401603,12.57115745,12.78297667,13.16372102,14.14017379,14.34684445,14.37783107,14.44527659,15.14486529,15.29602919,15.54491913,15.89817469,16.2292095,17.33053434,20.14888762,22.31333889,23.75462954,29.34044958,29.34045581,30.46666583,31.28367786,32.03535614,33.48452846,34.1552138,35.06277932,35.60913918,35.80729738,36.5663476,41.10538665,44.34431235,43.8428909,45.32089907,47.87155642,49.30034311,54.35461943,53.47757969,55.19597454,,56.83118717,56.07122678,62.4739574,64.90407483,58.07530043,68.34267696,70.15709762,66.59438604,76.22068357,83.64087036,,94.86053804,,97.54315284,99.66206127,93.85402107,100.9671172,101.5475764,98.61752244,103.3734477,108.6318778,108.5029725,105.6571177,112.2908717,114.6638877,113.3750024,102.9769186,,103.2207504,118.3953309,121.6080477,122.1618447,132.722085,139.6092414,,151.2222071,141.0693705,154.6118634,,162.6688894,185.5404286,180.6865254,227.4479339,254.436059,231.6175507,267.6341263,294.8927292,,348.8573252,,528.9430407,546.0117653,817.2191516,669.4616889,906.9337793,
200000,7.469731675,8.018670338,11.60909708,13.57980597,13.57980597,13.41327714,13.68422297,13.8360224,14.19410711,14.46164859,14.97015459,16.10310003,16.34563395,16.23402421,16.12640045,17.10008335,17.27076266,17.55178456,17.95064579,18.32441754,19.56792457,22.88606286,25.19401444,26.82137723,33.12833252,33.12833955,34.71125438,35.32243361,36.17115435,37.89672867,38.56468787,39.58942105,40.20631655,40.43005718,40.821895,45.88918193,50.36837462,49.50305429,50.32400198,54.05182477,55.99766957,61.8136053,60.44615234,62.8858282,,64.16815329,62.59672848,70.5394111,73.28325924,62.9535249,76.29631522,78.9090106,72.84570717,86.40145265,95.00327029,,107.965952,,110.1360766,113.1249053,104.2148333,114.0020783,114.6574754,110.0945107,116.7190687,123.5392334,122.5108205,117.9533656,126.7877415,130.2406858,128.0118346,112.643526,,111.8911143,133.506971,137.3077748,135.6476381,149.8566459,155.0211025,,170.7451532,155.310858,174.5724177,,183.6696143,207.8993693,198.9275148,253.91805,287.2840222,251.073023,298.7810629,332.9636911,,393.8951733,,597.2301443,621.8086284,922.7230047,707.6276386,1024.019885,
225000,8.278882791,8.983936681,12.90370438,15.20216261,15.20216261,14.90908051,15.2399033,15.3789689,15.77698601,16.10570996,16.75861384,18.05205531,18.33196997,18.04438777,17.72553492,19.0070269,19.1967398,19.50910031,19.95244119,20.3678947,21.75007344,25.58923636,28.00356586,29.81240665,36.8226923,36.82270011,38.92939699,39.26147213,40.20483935,42.22156147,42.86529164,44.0042996,44.68998921,44.93868064,44.86989691,50.43966877,56.31760478,55.02346775,55.02398221,60.07950175,62.61180051,69.19837303,67.25813452,70.52777015,,71.32396906,68.8039777,78.40572803,81.45556085,67.25854288,83.86204996,87.37400174,78.50213644,96.41394843,106.2245242,,120.962608,,122.41808,126.402058,113.9479157,126.7152052,127.4436899,121.0117596,129.7351851,138.2982584,136.1728136,129.6499183,140.9266823,145.6239857,142.2872822,121.3902341,,119.5426836,148.2046198,152.6198742,148.3163686,166.5681531,169.4992062,,189.7860762,168.413659,194.0401443,,204.1518295,229.3458295,215.7100352,279.0972032,319.3209662,268.2424171,328.4089455,370.0946776,,437.8210329,,663.8312333,697.0660143,1025.621958,738.6159603,1138.215125,
