,,British Gas,EDF,EON,NPower,OVO,Scottish Power
,,Energy,Energy,Energy,Energy,Energy,Energy
1,03/01/2011,160812,0,36000,0,0,44281
2,10/01/2011,483269,70,608605,19971,0,0
3,17/01/2011,400888,9271,288856,194708,0,0
4,24/01/2011,364038,19303,120730,242152,0,0
5,31/01/2011,798453,117848,755683,243480,0,0
6,07/02/2011,133733,100,222920,194874,0,135895
7,14/02/2011,43490,1070,581087,167707,0,143549
8,21/02/2011,159619,0,351804,63424,0,132322
9,28/02/2011,1570078,150891,122989,27581,0,142577
10,07/03/2011,265075,80,83193,995,0,140890
11,14/03/2011,261575,0,252978,2457,0,0
12,21/03/2011,206735,0,126242,33065,0,0
13,28/03/2011,376412,283685,14768,22851,0,3839
14,04/04/2011,6500,99,45762,26895,0,2979
15,11/04/2011,0,0,0,6525,0,0
16,18/04/2011,634280,82,235615,33564,0,0
17,25/04/2011,1224452,14975,58637,37717,0,0
18,02/05/2011,731317,82,0,15807,0,0
19,09/05/2011,602333,82,50549,29121,0,513
20,16/05/2011,601239,0,46629,86463,0,513
21,23/05/2011,127062,99,18778,97989,0,0
22,30/05/2011,1030395,29159,302644,28334,2,0
23,06/06/2011,737101,82,30148,116695,0,0
24,13/06/2011,490514,371171,86679,62482,0,0
25,20/06/2011,410850,377898,57010,81508,0,0
26,27/06/2011,554319,697786,93601,81337,0,9054
27,04/07/2011,808753,684190,1610,64719,0,55208
28,11/07/2011,886460,912805,43134,19581,0,56178
29,18/07/2011,810787,501941,74413,18411,0,23952
30,25/07/2011,498672,615004,71215,19520,0,0
31,01/08/2011,748625,134910,427432,97214,0,37124
32,08/08/2011,399372,54028,119,102257,0,38774
33,15/08/2011,19758,318412,90819,368748,0,81695
34,22/08/2011,21347,225611,117896,385562,0,0
35,29/08/2011,415601,68248,336225,347398,0,0
36,05/09/2011,533895,293,46073,147726,0,0
37,12/09/2011,434298,23280,178041,85043,0,48209
38,19/09/2011,666037,131546,259223,71211,0,0
39,26/09/2011,438297,474232,573960,59085,0,2869
40,03/10/2011,304937,193696,278683,16805,0,80964
41,10/10/2011,360856,71952,699132,608166,0,113519
42,17/10/2011,351281,1472,676193,361681,0,111882
43,24/10/2011,344369,8319,622342,347128,0,102193
44,31/10/2011,670605,1115679,969960,1037300,259,111108
45,07/11/2011,378361,84,193843,450680,0,5852
46,14/11/2011,387929,566,396546,491453,0,811
47,21/11/2011,376996,0,279961,238145,0,231
48,28/11/2011,565456,42032,197205,76839,3,0
49,05/12/2011,226293,0,3648,45483,0,0
50,12/12/2011,190063,10790,26851,7738,0,0
51,19/12/2011,70445,40534,247,0,0,0
52,26/12/2011,412882,42554,217,138186,0,0
53,02/01/2012,204977,11314,1968,96725,0,0
54,09/01/2012,808468,310010,29476,72491,0,0
55,16/01/2012,1072187,3168,191112,13903,0,145
56,23/01/2012,900738,303750,599,70653,0,145
57,30/01/2012,1489191,321856,5300,55337,0,0
58,06/02/2012,1070411,91589,13984,59332,0,0
59,13/02/2012,998905,2880,23258,52136,0,0
60,20/02/2012,1112620,960,94897,78370,0,0
61,27/02/2012,939136,110606,20775,114757,0,0
62,05/03/2012,188321,4552,51521,107800,0,0
63,12/03/2012,156586,960,181141,3514,0,25186
64,19/03/2012,114669,960,22061,18387,0,3993
65,26/03/2012,135042,173738,19259,82470,0,4125
66,02/04/2012,22066,1282340,369,80660,0,8539
67,09/04/2012,93563,1138427,0,49257,0,1014
68,16/04/2012,277049,853832,100010,7976,0,2531
69,23/04/2012,301723,560191,1075,4788,0,425794
70,30/04/2012,257796,1082954,902188,16935,0,192929
71,07/05/2012,328592,788197,118241,4718,0,128508
